Words,DistinctStems
762000,18947
763000,18953
764000,18962
765000,18967
766000,18975
767000,18986
768000,18995
769000,19003
770000,19009
771000,19021
772000,19030
773000,19046
774000,19067
775000,19072
776000,19077
777000,19088
778000,19096
779000,19105
780000,19114
781000,19126
782000,19132
783000,19139
784000,19149
785000,19159
786000,19170
787000,19182
788000,19193
789000,19207
790000,19210
791000,19221
792000,19230
793000,19236
794000,19248
795000,19260
796000,19262
797000,19272
798000,19279
799000,19284
800000,19295
801000,19307
802000,19316
803000,19327
804000,19335
805000,19346
806000,19357
807000,19370
808000,19374
809000,19385
810000,19392
811000,19401
812000,19412
813000,19419
814000,19425
815000,19443
816000,19448
817000,19458
818000,19461
819000,19466
820000,19476
821000,19485
822000,19496
823000,19502
824000,19510
825000,19518
826000,19526
827000,19536
828000,19545
829000,19556
830000,19562
831000,19570
832000,19576
833000,19585
834000,19597
835000,19604
836000,19611
837000,19622
838000,19627
839000,19632
840000,19642
841000,19650
842000,19657
843000,19664
844000,19673
845000,19685
846000,19691
847000,19700
848000,19706
849000,19722
850000,19728
851000,19733
852000,19739
853000,19748
854000,19759
855000,19772
856000,19786
857000,19796
858000,19802
859000,19817
860000,19826
861000,19837
862000,19844
863000,19853
864000,19859
865000,19869
866000,19879
867000,19892
868000,19900
869000,19911
870000,19920
871000,19933
872000,19948
873000,19958
874000,19970
875000,19979
876000,19990
877000,19998
878000,20005
879000,20018
880000,20026
881000,20032
882000,20038
883000,20040
884000,20048
885000,20055
886000,20062
887000,20073
888000,20084
889000,20090
890000,20095
891000,20097
892000,20105
893000,20112
894000,20118
895000,20129
896000,20138
897000,20147
898000,20152
899000,20161
900000,20167
901000,20181
902000,20184
903000,20191
904000,20204
905000,20214
906000,20220
907000,20227
908000,20234
909000,20240
910000,20246
911000,20252
912000,20259
913000,20267
914000,20272
915000,20283
916000,20288
917000,20300
918000,20305
919000,20312
920000,20328
921000,20337
922000,20344
923000,20348
924000,20358
925000,20367
926000,20371
927000,20379
928000,20382
929000,20392
930000,20403
931000,20413
932000,20419
933000,20425
934000,20433
935000,20440
936000,20452
937000,20456
938000,20463
939000,20479
940000,20486
941000,20495
942000,20504
943000,20511
944000,20517
945000,20531
946000,20535
947000,20541
948000,20550
949000,20553
950000,20561
951000,20573
952000,20575
953000,20581
954000,20582
955000,20593
956000,20602
957000,20611
958000,20618
959000,20627
960000,20631
961000,20639
962000,20646
963000,20657
964000,20663
965000,20670
966000,20680
967000,20681
968000,20697
969000,20704
970000,20709
971000,20716
972000,20720
973000,20727
974000,20734
975000,20736
976000,20743
977000,20751
978000,20763
979000,20767
980000,20776
981000,20787
982000,20792
983000,20803
984000,20810
985000,20815
986000,20817
987000,20821
988000,20827
989000,20837
990000,20842
991000,20850
992000,20859
993000,20868
994000,20877
995000,20885
996000,20889
997000,20892
998000,20899
999000,20906
1000000,20911
1001000,20915
1002000,20918
1003000,20924
1004000,20932
1005000,20936
1006000,20941
1007000,20952
1008000,20959
1009000,20965
1010000,20971
1011000,20976
1012000,20985
1013000,20991
1014000,20996
1015000,21000
1016000,21008
1017000,21017
1018000,21023
1019000,21024
1020000,21031
1021000,21040
1022000,21050
1023000,21056
1024000,21066
1025000,21073
1026000,21084
1027000,21090
1028000,21094
1029000,21099
1030000,21105
1031000,21117
1032000,21126
1033000,21128
1034000,21136
1035000,21142
1036000,21147
1037000,21150
1038000,21160
1039000,21164
1040000,21171
1041000,21178
1042000,21184
1043000,21189
1044000,21199
1045000,21212
1046000,21216
1047000,21218
1048000,21220
1049000,21226
1050000,21229
1051000,21241
1052000,21250
1053000,21254
1054000,21269
1055000,21277
1056000,21279
1057000,21289
1058000,21297
1059000,21306
1060000,21311
1061000,21317
1062000,21323
1063000,21329
1064000,21332
1065000,21338
1066000,21343
1067000,21355
1068000,21361
1069000,21366
1070000,21372
1071000,21377
1072000,21384
1073000,21394
1074000,21405
1075000,21414
1076000,21425
1077000,21431
1078000,21435
1079000,21446
1080000,21454
1081000,21457
1082000,21463
1083000,21467
1084000,21474
1085000,21477
1086000,21483
1087000,21488
1088000,21493
1089000,21498
1090000,21501
1091000,21508
1092000,21515
1093000,21519
1094000,21526
1095000,21534
1096000,21543
1097000,21557
1098000,21564
